security,ts_code,symbol,name,cnspell,market,list_date
000488.XSHE,000488.SZ,000488,ST晨鸣,STCM,主板,20001120
000498.XSHE,000498.SZ,000498,山东路桥,SDLQ,主板,19970609
000501.XSHE,000501.SZ,000501,武商集团,WSJT,主板,19921120
000503.XSHE,000503.SZ,000503,国新健康,GXJK,主板,19921130
000504.XSHE,000504.SZ,000504,*ST生物,STSW,主板,19921208
000505.XSHE,000505.SZ,000505,京粮控股,JLKG,主板,19921221
000506.XSHE,000506.SZ,000506,招金黄金,ZJHJ,主板,19930312
000507.XSHE,000507.SZ,000507,珠海港,ZHG,主板,19930326
000509.XSHE,000509.SZ,000509,华塑控股,HSKG,主板,19930507
000510.XSHE,000510.SZ,000510,新金路,XJL,主板,19930507
000513.XSHE,000513.SZ,000513,丽珠集团,LZJT,主板,19931028
000514.XSHE,000514.SZ,000514,渝 开 发,YKF,主板,19930712
000516.XSHE,000516.SZ,000516,国际医学,GJYX,主板,19930809
000517.XSHE,000517.SZ,000517,荣安地产,RADC,主板,19930806
000518.XSHE,000518.SZ,000518,四环生物,SHSW,主板,19930908
000519.XSHE,000519.SZ,000519,中兵红箭,ZBHJ,主板,19931008
000520.XSHE,000520.SZ,000520,凤凰航运,FHHY,主板,19931025
000521.XSHE,000521.SZ,000521,长虹美菱,CHML,主板,19931018
000523.XSHE,000523.SZ,000523,红棉股份,HMGF,主板,19931108
000524.XSHE,000524.SZ,000524,岭南控股,LNKG,主板,19931118
000525.XSHE,000525.SZ,000525,红太阳,HTY,主板,19931028
000526.XSHE,000526.SZ,000526,学大教育,XDJY,主板,19931101
000528.XSHE,000528.SZ,000528,柳    工,LG,主板,19931118
000529.XSHE,000529.SZ,000529,广弘控股,GHKG,主板,19931118
000530.XSHE,000530.SZ,000530,冰山冷热,BSLR,主板,19931208
000531.XSHE,000531.SZ,000531,穗恒运Ａ,SHYＡ,主板,19940106
000532.XSHE,000532.SZ,000532,华金资本,HJZB,主板,19940103
000533.XSHE,000533.SZ,000533,顺钠股份,SNGF,主板,19940103
000534.XSHE,000534.SZ,000534,万泽股份,WZGF,主板,19940110
000536.XSHE,000536.SZ,000536,华映科技,HYKJ,主板,19931126
000537.XSHE,000537.SZ,000537,绿发电力,LFDL,主板,19931210
000538.XSHE,000538.SZ,000538,云南白药,YNBY,主板,19931215
000539.XSHE,000539.SZ,000539,粤电力Ａ,YDLＡ,主板,19931126
000541.XSHE,000541.SZ,000541,佛山照明,FSZM,主板,19931123
000543.XSHE,000543.SZ,000543,皖能电力,WNDL,主板,19931220
000544.XSHE,000544.SZ,000544,中原环保,ZYHB,主板,19931208
000545.XSHE,000545.SZ,000545,金浦钛业,JPTY,主板,19931215
000546.XSHE,000546.SZ,000546,金圆股份,JYGF,主板,19931215
000547.XSHE,000547.SZ,000547,航天发展,HTFZ,主板,19931130
000548.XSHE,000548.SZ,000548,湖南投资,HNTZ,主板,19931220
000550.XSHE,000550.SZ,000550,江铃汽车,JLQC,主板,19931201
000551.XSHE,000551.SZ,000551,创元科技,CYKJ,主板,19940106
000552.XSHE,000552.SZ,000552,甘肃能化,GSNH,主板,19940106
000553.XSHE,000553.SZ,000553,安道麦A,ADMA,主板,19931203
000554.XSHE,000554.SZ,000554,泰山石油,TSSY,主板,19931215
000555.XSHE,000555.SZ,000555,神州信息,SZXX,主板,19940408
000557.XSHE,000557.SZ,000557,西部创业,XBCY,主板,19940617
000558.XSHE,000558.SZ,000558,天府文旅,TFWL,主板,19940509
000559.XSHE,000559.SZ,000559,万向钱潮,WXQC,主板,19940110
000560.XSHE,000560.SZ,000560,我爱我家,WAWJ,主板,19940202
000561.XSHE,000561.SZ,000561,烽火电子,FHDZ,主板,19940509
000563.XSHE,000563.SZ,000563,陕国投Ａ,SGTＡ,主板,19940110
000564.XSHE,000564.SZ,000564,供销大集,GXDJ,主板,19940110
000565.XSHE,000565.SZ,000565,渝三峡Ａ,YSXＡ,主板,19940408
000566.XSHE,000566.SZ,000566,海南海药,HNHY,主板,19940525
000567.XSHE,000567.SZ,000567,海德股份,HDGF,主板,19940525
000568.XSHE,000568.SZ,000568,泸州老窖,LZLJ,主板,19940509
000570.XSHE,000570.SZ,000570,苏常柴Ａ,SCCＡ,主板,19940701
000571.XSHE,000571.SZ,000571,新大洲A,XDZA,主板,19940525
000572.XSHE,000572.SZ,000572,海马汽车,HMQC,主板,19940808
000573.XSHE,000573.SZ,000573,粤宏远Ａ,YHYＡ,主板,19940815
000576.XSHE,000576.SZ,000576,甘化科工,GHKG,主板,19940907
000581.XSHE,000581.SZ,000581,威孚高科,WFGK,主板,19980924
000582.XSHE,000582.SZ,000582,北部湾港,BBWG,主板,19951102
000586.XSHE,000586.SZ,000586,汇源通信,HYTX,主板,19951220
000589.XSHE,000589.SZ,000589,贵州轮胎,GZLT,主板,19960308
000590.XSHE,000590.SZ,000590,古汉医药,GHYY,主板,19960119
000591.XSHE,000591.SZ,000591,太阳能,TYN,主板,19960208
000592.XSHE,000592.SZ,000592,平潭发展,PTFZ,主板,19960327
000593.XSHE,000593.SZ,000593,德龙汇能,DLHN,主板,19960312
000595.XSHE,000595.SZ,000595,*ST宝实,STBS,主板,19960419
000596.XSHE,000596.SZ,000596,古井贡酒,GJGJ,主板,19960927
000597.XSHE,000597.SZ,000597,东北制药,DBZY,主板,19960523
000598.XSHE,000598.SZ,000598,兴蓉环境,XRHJ,主板,19960529
000599.XSHE,000599.SZ,000599,青岛双星,QDSX,主板,19960430
000600.XSHE,000600.SZ,000600,建投能源,JTNY,主板,19960606
000601.XSHE,000601.SZ,000601,韶能股份,SNGF,主板,19960830
000603.XSHE,000603.SZ,000603,盛达资源,SDZY,主板,19960823
000605.XSHE,000605.SZ,000605,渤海股份,BHGF,主板,19960913
000607.XSHE,000607.SZ,000607,华媒控股,HMKG,主板,19960830
000608.XSHE,000608.SZ,000608,阳光股份,YGGF,主板,19960919
000609.XSHE,000609.SZ,000609,*ST中迪,STZD,主板,19961010
000610.XSHE,000610.SZ,000610,*ST西旅,STXL,主板,19960926
000612.XSHE,000612.SZ,000612,焦作万方,JZWF,主板,19960926
000615.XSHE,000615.SZ,000615,*ST美谷,STMG,主板,19961016
000617.XSHE,000617.SZ,000617,中油资本,ZYZB,主板,19961022
000619.XSHE,000619.SZ,000619,海螺新材,HLXC,主板,19961023
000620.XSHE,000620.SZ,000620,盈新发展,YXFZ,主板,19961029
000623.XSHE,000623.SZ,000623,吉林敖东,JLAD,主板,19961028
000625.XSHE,000625.SZ,000625,长安汽车,CAQC,主板,19970610
000626.XSHE,000626.SZ,000626,远大控股,YDKG,主板,19961128
000628.XSHE,000628.SZ,000628,高新发展,GXFZ,主板,19961118
000629.XSHE,000629.SZ,000629,钒钛股份,FTGF,主板,19961115
000630.XSHE,000630.SZ,000630,铜陵有色,TLYS,主板,19961120
000631.XSHE,000631.SZ,000631,顺发恒能,SFHN,主板,19961122
000632.XSHE,000632.SZ,000632,ST三木,STSM,主板,19961121
000633.XSHE,000633.SZ,000633,合金投资,HJTZ,主板,19961112
000635.XSHE,000635.SZ,000635,英 力 特,YLT,主板,19961120
000636.XSHE,000636.SZ,000636,风华高科,FHGK,主板,19961129
000637.XSHE,000637.SZ,000637,茂化实华,MHSH,主板,19961114
000638.XSHE,000638.SZ,000638,*ST万方,STWF,主板,19961126
000639.XSHE,000639.SZ,000639,ST西王,STXW,主板,19961126
000650.XSHE,000650.SZ,000650,仁和药业,RHYY,主板,19961210
000651.XSHE,000651.SZ,000651,格力电器,GLDQ,主板,19961118
000652.XSHE,000652.SZ,000652,泰达股份,TDGF,主板,19961128
000655.XSHE,000655.SZ,000655,金岭矿业,JLKY,主板,19961128
000656.XSHE,000656.SZ,000656,*ST金科,STJK,主板,19961128
000657.XSHE,000657.SZ,000657,中钨高新,ZWGX,主板,19961205
000659.XSHE,000659.SZ,000659,珠海中富,ZHZF,主板,19961203
000661.XSHE,000661.SZ,000661,长春高新,CCGX,主板,19961218
000663.XSHE,000663.SZ,000663,永安林业,YALY,主板,19961206
000665.XSHE,000665.SZ,000665,湖北广电,HBGD,主板,19961210
000668.XSHE,000668.SZ,000668,*ST荣控,STRK,主板,19961210
000669.XSHE,000669.SZ,000669,ST金鸿,STJH,主板,19961210
000670.XSHE,000670.SZ,000670,盈方微,YFW,主板,19961217
000672.XSHE,000672.SZ,000672,上峰水泥,SFSN,主板,19961218
000676.XSHE,000676.SZ,000676,智度股份,ZDGF,主板,19961224
000677.XSHE,000677.SZ,000677,ST海龙,STHL,主板,19961226
000678.XSHE,000678.SZ,000678,襄阳轴承,XYZC,主板,19970106
000679.XSHE,000679.SZ,000679,大连友谊,DLYY,主板,19970124
000680.XSHE,000680.SZ,000680,山推股份,STGF,主板,19970122
000681.XSHE,000681.SZ,000681,视觉中国,SJZG,主板,19970121
000682.XSHE,000682.SZ,000682,东方电子,DFDZ,主板,19970121
000683.XSHE,000683.SZ,000683,博源化工,BYHG,主板,19970131
000685.XSHE,000685.SZ,000685,中山公用,ZSGY,主板,19970123
000686.XSHE,000686.SZ,000686,东北证券,DBZQ,主板,19970227
000688.XSHE,000688.SZ,000688,国城矿业,GCKY,主板,19970120
000690.XSHE,000690.SZ,000690,宝新能源,BXNY,主板,19970128
000691.XSHE,000691.SZ,000691,*ST亚太,STYT,主板,19970228
000692.XSHE,000692.SZ,000692,惠天热电,HTRD,主板,19970227
000695.XSHE,000695.SZ,000695,滨海能源,BHNY,主板,19970218
000697.XSHE,000697.SZ,000697,炼石航空,LSHK,主板,19970325
000698.XSHE,000698.SZ,000698,ST沈化,STSH,主板,19970220
000700.XSHE,000700.SZ,000700,模塑科技,MSKJ,主板,19970228
